Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Hana,android,movieDetails,,,2021-10-27 15:46:12
Hana,android,browseTitlesGallery,,,2021-10-27 15:46:11
Hana,android,browseTitles,,,2021-10-27 15:46:01
Hana,android,browseTitlesGallery,,,2021-10-27 15:46:01
Hana,android,movieDetails,,,2021-10-27 15:45:49
Hana,android,browseTitles,,,2021-10-27 15:45:49
Hana,android,movieDetails,,,2021-10-27 15:45:35
Hana,android,browseTitles,,,2021-10-27 15:45:34
Hana,android,browseTitles,,,2021-10-27 15:45:03
Hana,android,profilesGate,,,2021-10-27 15:45:02
Hana,android,playback,,,2021-10-24 21:11:46
Hana,android,browseTitles,,,2021-10-24 21:11:45
Hana,android,browseTitles,,,2021-10-24 21:11:42
Hana,android,playback,,,2021-10-24 20:53:49
Hana,android,browseTitles,,,2021-10-24 20:53:47
Hana,android,browseTitles,,,2021-10-24 20:53:16
Hana,android,playback,,,2021-10-24 19:32:03
Hana,android,browseTitles,,,2021-10-24 19:32:01
Hana,android,browseTitles,,,2021-10-24 19:31:50
Hana,android,profilesGate,,,2021-10-24 19:31:49
Hana,android,playback,,,2021-10-23 20:22:04
Hana,android,browseTitles,,,2021-10-23 20:22:02
Hana,android,browseTitles,,,2021-10-23 20:21:57
Hana,android,profilesGate,,,2021-10-23 20:21:55
Hana,android,playback,,,2021-10-22 21:04:56
Hana,android,browseTitles,,,2021-10-22 21:04:53
Hana,android,browseTitles,,,2021-10-22 21:04:26
Hana,android,playback,,,2021-10-22 20:29:21
Hana,android,browseTitles,,,2021-10-22 20:20:41
Hana,android,browseTitles,,,2021-10-22 20:20:39
Hana,android,playback,,,2021-10-22 19:21:43
Hana,android,browseTitles,,,2021-10-22 19:21:41
Hana,android,browseTitles,,,2021-10-22 19:21:29
Hana,android,movieDetails,,,2021-10-22 16:16:15
Hana,android,browseTitles,,,2021-10-22 16:16:15
Hana,android,playback,,,2021-10-22 16:16:10
Hana,android,movieDetails,,,2021-10-22 16:16:10
Hana,android,playback,,,2021-10-22 16:05:17
Hana,android,movieDetails,,,2021-10-22 16:05:14
Hana,android,movieDetails,,,2021-10-22 16:05:04
Hana,android,browseTitles,,,2021-10-22 16:05:04
Hana,android,browseTitles,,,2021-10-22 16:05:00
Hana,android,movieDetails,,,2021-10-22 15:58:37
Hana,android,search,,,2021-10-22 15:58:37
Hana,android,postPlay,,,2021-10-22 15:58:36
Hana,android,postPlay,,,2021-10-22 15:58:32
Hana,android,playback,,,2021-10-22 15:51:25
Hana,android,movieDetails,,,2021-10-22 15:51:24
Hana,android,search,,,2021-10-22 15:51:00
Hana,android,movieDetails,,,2021-10-22 15:51:00
Hana,android,search,,,2021-10-22 15:50:08
Hana,android,browseTitles,,,2021-10-22 15:50:05
Hana,android,browseTitlesGallery,,,2021-10-22 15:50:01
Hana,android,browseTitles,,,2021-10-22 15:50:01
Hana,android,browseTitlesGallery,,,2021-10-22 15:47:24
Hana,android,browseTitles,,,2021-10-22 15:47:23
Hana,android,browseTitles,,,2021-10-22 15:47:17
Hana,android,playback,,,2021-10-22 15:26:12
Hana,android,browseTitles,,,2021-10-22 15:26:10
Hana,android,browseTitles,,,2021-10-22 15:26:07
Hana,android,playback,,,2021-10-22 12:54:18
Hana,android,browseTitles,,,2021-10-22 12:54:12
Hana,android,playback,,,2021-10-21 21:26:33
Hana,android,browseTitles,,,2021-10-21 21:26:32
Hana,android,browseTitles,,,2021-10-21 21:26:11
